word,partOfSpeech,gloss
ɓushwat,v,waking up
ɓushwat sut,v,waking her up
ɓushwat sa,v,waking you up
ɓushwat shush,v,waking you(f) up
ɓushwat kan,v,waking us up
ɓushwat nin,v,waking us up
ɓwa,v,go (m)
ɓwalan,n,gurel
ɓwaf,v,left part
ɓwai,adj,side/hit/home
ɓwang,adj,derogatory word
ɓwar,v,suffering (idiom)
ɓwaar,n,kill
ɓwarak,adj,powder form
ɓwash,v,abort
ɓwe,n,sun
ɓwel,n,penis
ɓwele,n,lies
ɓwele feng,n,bed bug
ɓwe',n,a type of tree (maɗaci)
ɓweng,v,support/defend
ɓwereng,v,shoot
ɓwet,v,like/love/want/agree
ɓwet ta,v,like you (m)
ɓwet tu,v,like you (pl m/f)
ɓwet tut,v,like her
ɓwet tush,v,like you (f)
ɓwet kan,v,like us
ɓwet shush,v,like you (f)
ɓwet sa,v,like you (m)
ɓwet nin,v,like us
cap,adj,brief
cef,n,money
cefwufen,n,tax
cel,adj,improve
celel,adj,pure
cem,n,medulla of oblongata
cenggyel,n,alone
cet,n,basket
ceer,adv,dimension
ceref,n,chacoal
cif,adj,biggest of all
cinggir,v,stoop down
cinggira,v,stoop down (m)
cinggirshi,v,stoop down (f)
cinggirhun,v,stoop down(pl)
cittiti,v,argument/dragging over a matter
cikkyaran,v,thinking of alternative
cu,v,eat/succeed
cuha,v,you (m) eat
cuhun,v,you (pl m/f) eat
cuhus,v,ate him
cuhut,v,ate her
cunnin,v,ate us
cukan,v,ate us
cuhush,v,ate you
cuɓuru',adj,defected
cukubya,n,wild garden egg
cunjo,n,small jar
cungjwang,n,guinea fowl
cungjuk,adj,doted colour
cut,v,sparkle
cala,n,peace
caɓalang,n,broken part of pot
cak,v,spare
cak ka,v,spare you
cak ku,v,spare you (pl)
cak kan,v,spare us
cak kus,v,spare him
cak kun,v,spare us
cak kush,v,spare you (f)
cak kut,v,spare her
cak sa,v,spare you
cak sut,v,spare her
cak sus,v,spare him/them
cak su,v,spare you
cakat,v,silience
cakcar,n,black beneseed
cakparak,adj,unexpectedly
car,n,condense smoke on back of a pot
cam,n,local beans
caicai,adj,removing off clothes to be naked
can,adj,sour
cangang,v,quick response
caran,n,nails
caal,n,small ridge attached to the main ridge
cattaira,v,releases you
cattuira,v,releases you (pl m/f)
cattunra,v,releases me
catkanra,v,releases us
catninra,v,releases us
cuttutra,v,releases her
cuttusra,v,releases him
dafuk,n,spurge
dak,n,big gaude
dala,n,last
dakup,n,name after twins
dakop,n,owner of inheritance
